ProductID,ProductName,Category,Price,CreatedDate
1,Novel,Books,20362.2,2025-11-22
2,Office Desk,Furniture,49249.03,2025-06-17
3,T-Shirt,Clothing,41636.32,2025-05-26
4,Microwave,Home Appliances,82233.3,2025-09-16
5,T-Shirt,Clothing,33334.17,2026-05-07
6,Data Science Book,Books,15450.12,2024-09-07
7,Speaker,Electronics,44823.12,2026-04-15
8,Shirt,Clothing,2820.52,2026-04-07
9,Refrigerator,Home Appliances,41110.31,2024-09-04
10,Table,Furniture,87891.81,2025-12-01
11,Football,Sports,9377.16,2026-01-30
12,Data Science Book,Books,52901.24,2024-09-26
13,Cricket Bat,Sports,16674.31,2026-03-12
14,Refrigerator,Home Appliances,12095.57,2026-05-02
15,Washing Machine,Home Appliances,12939.34,2025-07-27
16,T-Shirt,Clothing,1349.63,2024-06-11
17,Novel,Books,73584.46,2025-03-03
18,Washing Machine,Home Appliances,32422.38,2025-06-17
19,Laptop,Electronics,74813.81,2026-05-18
20,Programming Book,Books,44769.63,2025-05-21
21,Office Chair,Furniture,31452.46,2026-02-11
22,Data Science Book,Books,25891.33,2025-07-05
23,Tablet,Electronics,58805.21,2025-06-05
24,Dictionary,Books,84581.86,2024-07-12
25,Tennis Racket,Sports,94870.13,2025-11-24
26,Cupboard,Furniture,30559.63,2025-04-27
27,Cricket Bat,Sports,79889.37,2025-03-03
28,T-Shirt,Clothing,46108.76,2024-10-04
29,Refrigerator,Home Appliances,62158.81,2025-10-21
30,Microwave,Home Appliances,87824.05,2025-02-14
31,Gym Kit,Sports,65905.75,2025-12-25
32,Novel,Books,52553.42,2024-12-26
33,Gym Kit,Sports,23800.74,2025-01-23
34,Refrigerator,Home Appliances,98360.45,2025-02-15
35,Jacket,Clothing,57879.96,2026-03-03
36,Washing Machine,Home Appliances,89771.19,2025-04-04
37,Jeans,Clothing,24113.05,2026-05-27
38,Refrigerator,Home Appliances,30272.39,2026-02-05
39,Dictionary,Books,13816.1,2025-07-31
40,Programming Book,Books,9293.95,2026-03-06
41,Microwave,Home Appliances,65047.94,2026-01-14
42,Speaker,Electronics,84307.17,2025-04-25
43,Speaker,Electronics,87382.39,2026-02-19
44,Office Chair,Furniture,16076.64,2026-05-06
45,Table,Furniture,77116.79,2025-04-05
46,Shirt,Clothing,90976.39,2025-01-27
47,Shirt,Clothing,98637.33,2025-01-14
48,Office Desk,Furniture,52929.89,2025-12-16
49,Mouse,Electronics,71635.49,2025-10-07
50,Data Science Book,Books,64141.8,2024-12-02
51,Cupboard,Furniture,68535.92,2025-05-08
52,Tablet,Electronics,66521.44,2025-01-24
53,Mobile Phone,Electronics,48218.9,2025-06-26
54,Dictionary,Books,61458.28,2025-09-13
55,Football,Sports,30789.81,2025-12-20
56,Office Desk,Furniture,41543.9,2024-07-08
57,Mixer,Home Appliances,12550.87,2025-01-27
58,Washing Machine,Home Appliances,95362.51,2024-09-01
59,Table,Furniture,80835.38,2025-03-12
60,Laptop,Electronics,42581.66,2025-03-17
61,Dictionary,Books,27687.48,2026-04-13
62,T-Shirt,Clothing,46259.61,2024-06-10
63,Table,Furniture,38143.0,2025-07-01
64,Tablet,Electronics,88730.0,2025-10-05
65,Jeans,Clothing,41405.45,2024-12-06
66,Shirt,Clothing,64748.66,2026-02-18
67,Novel,Books,96692.14,2025-08-01
68,Shirt,Clothing,76578.42,2025-11-18
69,Jeans,Clothing,5850.61,2026-01-14
70,Refrigerator,Home Appliances,33580.44,2026-03-22
71,Refrigerator,Home Appliances,37300.09,2024-08-18
72,Mixer,Home Appliances,98240.17,2024-11-19
73,Microwave,Home Appliances,55862.3,2025-08-19
74,Cricket Bat,Sports,61642.15,2025-06-18
75,Keyboard,Electronics,69552.3,2026-06-01
76,Gym Kit,Sports,36754.37,2025-01-06
77,Mobile Phone,Electronics,5612.37,2025-08-29
78,T-Shirt,Clothing,67546.93,2025-07-22
79,Tennis Racket,Sports,26288.0,2025-02-08
80,Gym Kit,Sports,91303.31,2025-06-11
81,Speaker,Electronics,98990.88,2025-04-16
82,Jeans,Clothing,66153.55,2024-11-25
83,Tennis Racket,Sports,80553.37,2025-11-18
84,Microwave,Home Appliances,68213.13,2024-09-29
85,Gym Kit,Sports,99554.69,2026-05-24
86,Mouse,Electronics,3202.86,2025-03-14
87,Speaker,Electronics,82863.2,2025-10-17
88,T-Shirt,Clothing,20533.02,2025-02-17
89,Novel,Books,51397.27,2024-12-13
90,Shirt,Clothing,48681.72,2025-08-04
91,Table,Furniture,34572.99,2026-04-13
92,Refrigerator,Home Appliances,11360.01,2024-06-21
93,Jacket,Clothing,60145.53,2026-04-22
94,Tennis Racket,Sports,12078.39,2024-11-07
95,Football,Sports,8033.56,2026-03-20
96,Office Chair,Furniture,36229.41,2026-02-18
97,Programming Book,Books,91422.87,2024-09-06
98,Football,Sports,55430.87,2025-04-21
99,Mixer,Home Appliances,18282.47,2025-09-09
100,Monitor,Electronics,3325.89,2024-09-07
101,Jeans,Clothing,37022.01,2024-11-11
102,Refrigerator,Home Appliances,70732.37,2025-12-10
103,Washing Machine,Home Appliances,46103.82,2024-08-21
104,Shirt,Clothing,98469.25,2024-11-25
105,Cricket Bat,Sports,2048.37,2026-05-24
106,T-Shirt,Clothing,45331.84,2025-01-18
107,Cupboard,Furniture,86601.55,2024-08-08
108,Speaker,Electronics,88495.99,2026-02-05
109,Microwave,Home Appliances,87517.88,2026-02-20
110,T-Shirt,Clothing,78624.95,2025-05-09
111,Shirt,Clothing,79537.76,2025-10-24
112,Table,Furniture,33962.83,2025-07-26
113,Shirt,Clothing,81702.87,2025-10-14
114,T-Shirt,Clothing,91427.42,2025-06-12
115,Refrigerator,Home Appliances,94816.23,2024-11-19
116,Refrigerator,Home Appliances,77000.35,2025-05-15
117,T-Shirt,Clothing,11623.14,2024-09-04
118,Tennis Racket,Sports,69693.32,2024-11-15
119,Data Science Book,Books,69297.05,2025-10-11
